姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
冻原熊,冰,火格斗岩石钢,2.6,260,雪隐,凍結寶可夢,性情殘暴的肉食性寶可夢。會吐出寒氣把捕獲的獵物凍結起來保存。,天气为下雪时，闪避率会提高。特拨雪天气为下雪时，速度会提高。,
几何雪花,冰,火格斗岩石钢,1.1,148,飘浮,結晶寶可夢,會出現在寒冷的季節。據說牠是在雪山死去的寶可夢或人類轉生而來的。,从地面浮起，从而不会受到地面属招式的攻击。,
小嘴蜗,虫,火飞行岩石,0.4,7.7,湿润之躯,蝸牛寶可夢,一旦被敵人襲擊，便會關上殼蓋保護自己。不過蓋蓋蟲能打得開。,天气为下雨时，会治癒异常状态。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
敏捷虫,虫,火飞行岩石,0.8,25.3,湿润之躯,脫殼寶可夢,行動迅速，會噴出毒液來戰鬥。敏捷蟲擔綱主角的電影和漫畫擁有極高的人氣。,天气为下雨时，会治癒异常状态。特黏着道具会黏在具有黏的身体上，不会被对手夺走。,
泥巴鱼,地面电,水草冰地面,0.7,11,静电,陷阱寶可夢,潮間帶便是牠的巢穴。製造電的器官由於泥裡的細菌而發達起來。,身上带有静电，有时会令接触到的对手麻痺。特柔软因为身体柔软，不会陷入麻痺状态。,
功夫鼬,格斗,飞行超能力妖精,0.9,20,精神力,武術寶可夢,在早晨可以看見牠們集體用緩慢的動作擺出各種姿勢哦。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特再生力退回同行队伍后，ＨＰ会少量回復。,
师父鼬,格斗,飞行超能力妖精,1.4,35.5,精神力,武術寶可夢,會用連續攻擊壓倒對手。致命的一擊會在緩慢蓄力之後施展出來。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特再生力退回同行队伍后，ＨＰ会少量回復。,
赤面龙,龙,冰龙妖精,1.6,139,粗糙皮肤,洞穴寶可夢,臉上的紅色皮膚比岩石還要堅硬。在狹窄的洞窟中，會用臉朝著敵人發動突襲。,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。特强行招式会失去追加效果，但可以用更高的威力使出招式。,
泥偶小人,地面幽灵,水草冰幽灵恶,1,92,铁拳,魔像寶可夢,誕生自黏土的古代寶可夢。不知為何，有一些泥偶小人會不斷地把大石頭排列起來。,使用到拳头的招式威力会提高。特笨拙无法使用持有的道具。,
泥偶巨人,地面幽灵,水草冰幽灵恶,2.8,330,铁拳,魔像寶可夢,古代人城堡的牆壁裡那像炮台一樣的底座是為了讓泥偶巨人發射光束而建的。,使用到拳头的招式威力会提高。特笨拙无法使用持有的道具。,
驹刀小兵,恶钢,火格斗地面,0.5,10.2,不服输,利器寶可夢,遇上強敵也是不畏挑戰。在緊要關頭時會緊緊抓住對手，以身上的刀刃將其刺穿,被对手降低能力时，攻击会大幅提高。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
噼斩司令,恶钢,火格斗地面,1.6,70,不服输,刀刃寶可夢,率領駒刀小兵成群結隊。輸掉賭上地盤之爭的群體，會一個接一個地遭到吸收。,被对手降低能力时，攻击会大幅提高。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
爆炸头水牛,一般,格斗,1.6,94.6,捨身,頭錘牛寶可夢,不分青紅皂白地向前猛衝，使出頭錘。有著能讓前進中的列車脫軌的破壞力。,会让自己因反作用力而受伤的招式威力会提高。特食草受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。,
毛头小鹰,一般飞行,电冰岩石,0.5,10.5,锐利目光,雛鷹寶可夢,會不由分說挑起戰鬥。隨著每次被打倒，每次受傷，會成長得更強更壯。,靠着锐利的目光，命中率不会被降低。特强行招式会失去追加效果，但可以用更高的威力使出招式。,
勇士雄鹰,一般飞行,电冰岩石,1.5,41,锐利目光,勇猛寶可夢,勇猛果敢的天空戰士。身上受的傷越多，就越會受到夥伴的尊敬。,靠着锐利的目光，命中率不会被降低。特强行招式会失去追加效果，但可以用更高的威力使出招式。,
秃鹰丫头,恶飞行,电冰岩石妖精,0.5,9,健壮,尿布寶可夢,穿上骸骨來保護屁股。會和夥伴互相爭搶穿起來舒服的骸骨。, 不会受到降低防御的效果影响。特防尘不会受到沙暴的伤害。也不会受到粉末或孢子的影响。,
秃鹰娜,恶飞行,电冰岩石妖精,1.2,39.5,健壮,骨鷹寶可夢,雖然性情粗暴，如果遇到了迷路的禿鷹丫頭，便會細心照顧牠，直到牠長大離巢。, 不会受到降低防御的效果影响。特防尘不会受到沙暴的伤害。也不会受到粉末或孢子的影响。,
熔蚁兽,火,水地面岩石,1.4,58,贪吃鬼,食蟻獸寶可夢,從尾部的孔洞吸入空氣，燃起火焰。如果孔洞被堵住了，身體就會不舒服。,原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。特引火受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
铁蚁,虫钢,火,0.3,33,虫之预感,鐵蟻寶可夢,在巢穴的深處產卵。受到熔蟻獸的襲擊時會用大大的顎部咬住對方進行反擊。,ＨＰ减少的时候，虫属的招式威力会提高。特活力自己的攻击虽会变高，但命中率会降低。,
单首龙,恶龙,冰格斗虫龙妖精,0.8,17.3,活力,粗魯寶可夢,因為眼睛看不見，所以不管要確認什麼都是先咬再說。和牠變親密前會滿身是傷。,自己的攻击虽会变高，但命中率会降低。,
双首暴龙,恶龙,冰格斗虫龙妖精,1.4,50,活力,粗暴寶可夢,２顆頭的感情很差。如果兩邊疼愛的程度不同，就會因爭風吃醋而開始大吵。,自己的攻击虽会变高，但命中率会降低。,
三首恶龙,恶龙,冰格斗虫龙,1.8,160,飘浮,凶暴寶可夢,只有本體上的頭才有大腦。雖然智力很高，但卻滿腦子只想著要破壞。,从地面浮起，从而不会受到地面属招式的攻击。,
燃烧虫,虫火,水飞行岩石,1.1,28.8,火焰之躯,火炬寶可夢,過去被稱為盜日幼蟲。從角噴出來的火焰，就連鐵板都能燒斷。,有时会让接触到自己的对手陷入灼伤状态。,
勾帕路翁,钢格斗,火格斗地面,2.1,250,正义之心,鐵心寶可夢,有著鋼鐵的身體與心靈。光只是瞪一眼就能夠讓凶暴的寶可夢也甘心臣服。,受到恶属的招式攻击时，因为正义感，攻击会提高。,
代拉基翁,岩石格斗,水草格斗地面超能力钢妖精,1.9,260,正义之心,岩窟寶可夢,有著能一舉衝破巨大城牆的衝撞力。是傳說裡描述的寶可夢。,受到恶属的招式攻击时，因为正义感，攻击会提高。,
毕力吉翁,草格斗,火冰毒飞行超能力妖精,2,200,正义之心,草原寶可夢,頭上的角有如鋒利的刀刃。用旋風般的動作戲弄敵人，同時迅速斬切。,受到恶属的招式攻击时，因为正义感，攻击会提高。,
龙捲云,飞行,电冰岩石,1.5,63,恶作剧之心,旋風寶可夢,下半身被雲一般的能量包裹著。能以時速３００公里的速度在空中飛行。,可以抢先使出变化类招式。,
雷电云,电飞行,冰岩石,1.5,61,恶作剧之心,旋風寶可夢,下半身被雲一般的能量包裹著。能以時速３００公里的速度在空中飛行。,可以抢先使出变化类招式。,
莱希拉姆,龙火,地面岩石龙,3.2,330,涡轮火焰,白陽寶可夢,能以火焰將世界燃燒殆盡的傳說的寶可夢。會幫助建構真實世界的人。,可以不受对手特的干扰，向对手使出招式。,
捷克罗姆,龙电,冰地面龙妖精,2.9,345,兆级电压,黑陰寶可夢,能以閃電將世界燃燒殆盡的傳說的寶可夢。會輔助創造理想世界的人。,可以不受对手特的干扰，向对手使出招式。,
土地云,地面飞行,水冰,1.5,68,沙之力,豐饒寶可夢,土地雲造訪的土地上，作物會結實纍纍，因此被稱為農田之神。,沙暴天气时，岩石属、地面属和钢属招式的威力会提高。,
酋雷姆,龙冰,格斗岩石龙钢妖精,3,325,压迫感,境界寶可夢,等待著以真實及理想填補自己失去的身體的英雄。是冰之傳說寶可夢。,给予对手压迫感，大量减少其使用招式的ＰＰ。,
凯路迪欧,水格斗,草电飞行超能力妖精,1.4,48.5,正义之心,幼馬寶可夢,在河海等水面奔跑，馳騁在整個世界。會在美麗的水邊現身。,受到恶属的招式攻击时，因为正义感，攻击会提高。,
美洛耶塔,一般超能力,虫恶,0.6,6.5,天恩,旋律寶可夢,美洛耶塔演奏的旋律有著能讓周圍的寶可夢或悲或喜的力量。,受到上天保佑，容易出现招式的追加效果。,
盖诺赛克特,虫钢,火,1.5,82.5,下载,古生代寶可夢,被等離子隊改造過的古代的蟲寶可夢。背上的大砲力量得到了提升。,比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。,
哈力栗,草,火冰毒飞行虫,0.4,9,茂盛,刺栗寶可夢,頭上的刺平時很柔軟，一旦集中力量就會變得尖銳，硬度足以刺穿岩石。,ＨＰ减少的时候，草属的招式威力会提高。,
胖胖哈力,草,火冰毒飞行虫,0.7,29,茂盛,刺鎧寶可夢,覆蓋身體的結實外殼不僅能反彈敵人的攻擊，還能以尖銳的刺展開反擊。,ＨＰ减少的时候，草属的招式威力会提高。,
布里卡隆,草格斗,火冰毒飞行超能力妖精,1.6,90,茂盛,刺鎧寶可夢,有著能夠用身體撞翻５０噸重坦克車的力量。會把自身當成護盾保護夥伴。,ＨＰ减少的时候，草属的招式威力会提高。,
火狐狸,火,水地面岩石,0.4,9.4,勐火,狐狸寶可夢,吃了小樹枝就會變得有精神，從大大的耳朵中噴出超過攝氏２００度的熱氣。,ＨＰ减少的时候，火属的招式威力会提高。,
长尾火狐,火,水地面岩石,1,14.5,勐火,狐狸寶可夢,尾巴上插有樹枝。用樹枝和尾巴上的毛摩擦生熱，點燃樹枝應戰。,ＨＰ减少的时候，火属的招式威力会提高。,
妖火红狐,火超能力,水地面岩石幽灵恶,1.5,39,勐火,狐狸寶可夢,只要注視著木杖前端燃燒的火焰並集中精神，就能看穿未來將會發生的事。,ＨＰ减少的时候，火属的招式威力会提高。,
呱呱泡蛙,水,草电,0.3,7,激流,泡蛙寶可夢,從胸口和背上做出泡泡。以富有彈力的泡泡抵擋攻擊，減少所受的傷害。,ＨＰ减少的时候，水属的招式威力会提高。,
呱头蛙,水,草电,0.6,10.9,激流,泡蛙寶可夢,會使出用泡泡包著小石頭擲出的招式。有著能擊中３０公尺外空罐子的精準度。,ＨＰ减少的时候，水属的招式威力会提高。,
甲贺忍蛙,水恶,草电格斗虫妖精,1.5,40,激流,忍者寶可夢,將水壓縮，做出手裡劍。高速旋轉射出的手裡劍，就連金屬也能一分為二。,ＨＰ减少的时候，水属的招式威力会提高。,
掘掘兔,一般,格斗,0.4,5,捡拾,挖洞寶可夢,擅長用耳朵挖洞。只需一個晚上就能挖出深至地下１０公尺的巢穴。,有时会捡来对手用过的道具。冒险过程中也会捡来。特颊囊无论是哪种树果，吃下去后ＨＰ都会回復。,
掘地兔,一般地面,水草冰格斗,1,42.4,捡拾,挖洞寶可夢,肚子上的體毛保溫性能優秀。在過去，人們會用牠掉落的毛來製作保暖服裝。,有时会捡来对手用过的道具。冒险过程中也会捡来。特颊囊无论是哪种树果，吃下去后ＨＰ都会回復。,
小箭雀,一般飞行,电冰岩石,0.3,1.7,健壮,知更鳥寶可夢,平時性情溫和，但在戰鬥開始後，荷爾蒙的平衡會發生變化而變得具有攻擊性。, 不会受到降低防御的效果影响。,
火箭雀,火飞行,水电岩石,0.7,16,火焰之躯,火花寶可夢,會朝著似乎潛伏著蟲寶可夢的草叢灑出火花，然後趁牠們跳出來時獵捕。,有时会让接触到自己的对手陷入灼伤状态。,
烈箭鹰,火飞行,水电岩石,1.2,24.5,火焰之躯,烈火寶可夢,飛行能力數一數二。能夠攫著１００公斤以上的獵物輕輕鬆鬆地飛來飛去。,有时会让接触到自己的对手陷入灼伤状态。,
粉蝶虫,虫,火飞行岩石,0.3,2.5,鳞粉,噴粉寶可夢,吸入體內的毒素會變成黑色的粉末後被排出體外，所以能夠吃下毒葉和毒樹根。,被鳞粉守护着，不会受到招式的追加效果影响。特复眼因为拥有复眼，会提高招式的命中率。,
粉蝶蛹,虫,火飞行岩石,0.3,8.4,蜕皮,噴粉寶可夢,遭毛頭小鷹用鳥嘴襲擊時，就會以尖銳的體毛和帶毒的黑色粉末迎戰。,透过蜕去身上的皮，有时会治癒异常状态。,
彩粉蝶,虫飞行,火电冰飞行岩石,1.2,17,鳞粉,鱗粉寶可夢,世界上有著各式各樣擁有不同翅膀花紋的彩粉蝶。花紋似乎是受到棲息地的氣候影響。,被鳞粉守护着，不会受到招式的追加效果影响。特复眼因为拥有复眼，会提高招式的命中率。,
小狮狮,火一般,水格斗地面岩石,0.6,13.5,斗争心,幼獅寶可夢,年幼時雌性的火炎獅會教導自己如何狩獵，長大後就會離群索居。,面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特紧张感让对手感到紧张，无法吃树果。,
火炎狮,火一般,水格斗地面岩石,1.5,81.5,斗争心,王者寶可夢,雌性們會合力捕殺獵物，所以群體內不會發生有誰挨餓的狀況。,面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特紧张感让对手感到紧张，无法吃树果。,
花蓓蓓,妖精,毒钢,0.1,0.1,花幕,單朵寶可夢,牠所擁有的能力可以激發出野花潛藏的力量。對紅花最為鍾愛。,我方的草属性宝可梦能力不会降低。也不会陷入异常状态。,
花叶蒂,妖精,毒钢,0.2,0.9,花幕,單朵寶可夢,抱著紅花的花葉蒂。會激發出枯萎的花剩餘的力量使其恢復生氣。,我方的草属性宝可梦能力不会降低。也不会陷入异常状态。,
花洁夫人,妖精,毒钢,1.1,10,花幕,花園寶可夢,會在自己的地盤內打造出漂亮的花園。能激發頸部上紅花的力量。,我方的草属性宝可梦能力不会降低。也不会陷入异常状态。,
坐骑小羊,草,火冰毒飞行虫,0.9,31,食草,坐騎寶可夢,一直到最近為止，都還有山岳的住民乘在坐騎小羊的背上，在山路上移動。,受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。,
